year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2025,PHL,Philippines,PH,REGION III (CENTRAL LUZON),PH030000000,Tarlac,PH036900000,754603,778521,1533124,61481,64269,66031,69513,60682,58024,57783,52935,48349,44250,40179,36464,29622,23437,17120,12331,12133,65080,65707,65394,73434,74884,75333,68428,55029,46711,43078,38862,34007,26379,19459,12576,7818,6342,126561,129976,131425,142947,135566,133357,126211,107964,95060,87328,79041,70471,56001,42896,29696,20149,18475
2025,PHL,Philippines,PH,REGION III (CENTRAL LUZON),PH030000000,Zambales,PH037100000,467514,482204,949718,41696,41914,41299,41914,39000,40326,37314,33743,28884,24914,21876,20215,16921,13708,9970,7212,6608,44219,44661,44052,43959,41870,42482,39086,36332,30258,25861,23439,20647,16593,12346,7937,4933,3529,85915,86575,85351,85873,80870,82808,76400,70075,59142,50775,45315,40862,33514,26054,17907,12145,10137
2025,PHL,Philippines,PH,REGION IV-A (CALABARZON),PH040000000,Batangas,PH041000000,1705945,1717098,3423043,148445,150027,149765,151733,144251,141568,134003,116795,110824,100161,87090,76246,59921,48648,36017,25420,25031,157064,159157,159107,159393,151620,147771,136459,118150,109844,100246,87550,74510,56660,42825,27838,16305,12599,305509,309184,308872,311126,295871,289339,270462,234945,220668,200407,174640,150756,116581,91473,63855,41725,37630
2025,PHL,Philippines,PH,REGION IV-A (CALABARZON),PH040000000,Cavite,PH042100000,2338516,2300975,4639491,189736,196533,199737,202515,190578,191268,184684,175866,165713,151670,126678,110378,87450,66340,44826,28822,25722,200826,208900,212505,211084,199646,195172,180947,169109,155691,143952,121206,102726,78643,55610,33702,18525,12731,390562,405433,412242,413599,390224,386440,365631,344975,321404,295622,247884,213104,166093,121950,78528,47347,38453
2025,PHL,Philippines,PH,REGION IV-A (CALABARZON),PH040000000,Laguna,PH043400000,1805344,1778250,3583594,146571,152302,155578,149800,150723,146388,143385,138426,130501,117668,93838,81931,67076,52724,36681,22075,19677,155119,161609,164830,155312,156371,150361,140480,131969,122599,113287,91590,77775,59674,44733,28129,14546,9866,301690,313911,320408,305112,307094,296749,283865,270395,253100,230955,185428,159706,126750,97457,64810,36621,29543
2025,PHL,Philippines,PH,REGION IV-A (CALABARZON),PH040000000,Quezon,PH045600000,1162698,1204517,2367215,117791,116231,112370,109139,96701,97791,88482,72839,63423,59177,53364,49296,40967,32993,23230,14624,14280,124650,123411,119646,115596,105271,105554,94903,76832,65993,61584,54840,49924,40066,30056,18703,9848,7640,242441,239642,232016,224735,201972,203345,183385,149671,129416,120761,108204,99220,81033,63049,41933,24472,21920
2025,PHL,Philippines,PH,REGION IV-A (CALABARZON),PH040000000,Rizal,PH045800000,1733447,1730779,3464226,148882,151638,151745,153813,144451,144653,138296,124149,116925,106707,90528,78742,62929,49659,33575,20217,16538,157581,160951,161047,160533,151242,149218,137931,121660,113068,105211,89230,74463,57528,42044,26124,13952,8996,306463,312589,312792,314346,295693,293871,276227,245809,229993,211918,179758,153205,120457,91703,59699,34169,25534
2025,PHL,Philippines,PH,REGION IX (ZAMBOANGA PENINSULA),PH090000000,CITY OF ISABELA (Not a Province),PH099700000,70253,69467,139720,7261,7214,6925,6499,5889,6121,5949,4774,4165,3393,3085,2656,2206,1668,1197,720,531,7679,7614,7289,6584,6235,6293,5445,4508,3874,3185,2941,2483,2025,1528,949,524,311,14940,14828,14214,13083,12124,12414,11394,9282,8039,6578,6026,5139,4231,3196,2146,1244,842
2025,PHL,Philippines,PH,REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,524184,550677,1074861,53298,51700,49034,51874,46322,46450,41553,32554,26881,24556,23816,21477,18255,14079,10083,6401,5851,56400,54666,51849,53735,50381,50708,46511,35965,29340,26193,24515,22168,18183,13284,8562,4713,3504,109698,106366,100883,105609,96703,97158,88064,68519,56221,50749,48331,43645,36438,27363,18645,11114,9355
2025,PHL,Philippines,PH,REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL SUR,PH097300000,975068,995994,1971062,96240,94766,91072,94801,85002,83768,81925,64982,53712,49154,44901,39123,32514,25596,17514,11021,8977,101867,100232,96286,97140,90236,87859,83475,66082,55320,50431,44704,38909,31575,23558,15166,8074,5080,198107,194998,187358,191941,175238,171627,165400,131064,109032,99585,89605,78032,64089,49154,32680,19095,14057
